Price_CLP;Price_UF;Price_USD;Comuna;Ubicacion;Dorms;Baths;Built Area;Total Area;Parking;id;Realtor
98000000;2754;122042;Maipú;VentaCasa4DormitoriosMaipú;4;1;80;100;1;10806782;Invierte Propiedades
448434000;12600;558448;Santiago;ValenzuelaLlanos1100;4;3;145;300;2;10141426;
373695000;10500;465374;Peñalolén;Amigosdelamúsicapeñalolén;4;5;174;425;2;11137164;Nexxos
143500000;4032;178705;Recoleta;Av.Dorsalyc53257/av.Elsalto;8;4;72;180;1;5364962;Propiedades Centro Santiago SPA
1064141000;29900;1325207;LaReina;ÁlvaroCasanova-ElSendero;4;4;260;960;6;11165837;Nexxos
169900000;4774;211582;Santiago;RogelioUgarte;5;2;162;170;;10761086;Unne
145000000;4074;180573;SanBernardo;SantaInesAv.Central;3;2;90;240;3;9031804;Mi Llave
192186000;5400;239335;PuenteAlto;Elmacizo;2;3;117;199;2;11520802;
246709880;6932;307235;Conchalí;tenienteYavarConchalí;5;2;198;250;;11137194;Nexxos
978725000;27500;1218836;Providencia;Holanda-DiegodeAlmagro;6;5;260;539;5;11165198;Nexxos
274043000;7700;341274;Huechuraba;Harasdehuechuraba;3;3;108;200;2;11129204;Nexxos
120000000;3372;149440;Renca;Josémiguelinfante(ag)/esmeralda;5;2;140;119;1;6405273;Propiedades Centro Santiago SPA
133889580;3762;166737;Maipú;Maipú;4;3;95;120;2;8767054;Agente Propiedades
401099300;11270;499501;LaCisterna;EntreAvChileEspañayVirgendelPilar;4;4;264;759;2;9325194;Mi Llave
1067700000;30000;1329639;Colina;SanJosé-SantaCecilia;6;6;500;15500;9;11165969;Nexxos
355900000;10000;443213;Vitacura;Lashualtatasconmanquehue;3;2;80;350;3;7352407;Unne
180000000;5058;224159;LaGranja;Av.CardenalRaulSilvaHenriquezAG/Tome;4;3;140;300;1;5460491;Propiedades Centro Santiago SPA
300000000;8429;373599;QuintaNormal;NuevaExtramadura(AG)/SalvadorGutierrez;4;2;144;680;;6405290;Propiedades Centro Santiago SPA
90000000;2529;112080;Conchalí;Am55919av.Cardenal/av.Independencia;7;1;98;12;;6192065;Propiedades Centro Santiago SPA
316751000;8900;394460;Huechuraba;Casamediterraneaenventahuechuraba;3;3;123;266;2;11129070;Nexxos
255000000;7165;317559;Independencia;Carrion/Vivaceta-Independencia;6;2;160;245;2;10793198;Mauricio Pino Propiedades
266925000;7500;332410;Tiltil;Sevendecasaconampliaparcelaentiltil;4;3;250;6000;1;10215663;Movahome Corredores Integrados
266925000;7500;332410;Tiltil;Sevendecasaconampliaparcelaentiltil;4;3;250;6000;1;10215663;Movahome Corredores Integrados
384372000;10800;478670;LaReina;Montebruno-Larraín;4;3;136;360;3;6081570;Sucursal Cantagallo
120000000;3372;149440;Santiago;PadreAntonioCorrea;3;1;100;200;1;4853661;
69999999;1967;87173;PuenteAlto;YC54138AvJuanita/LaLechería;3;1;50;100;1;5633924;Propiedades Centro Santiago SPA
220000000;6182;273973;Santiago;Ventadecasaensantiago;5;2;117;208;;10219020;Movahome Corredores Integrados
276534300;7770;344376;SanBernardo;NogalesconEleuterioRamírez;4;4;132;120;2;6708451;Unne
587235000;16500;731301;Colina;CondominioelAlgarrobalII;4;3;353;3295;9;11518658;Nexxos
149478000;4200;186149;SanBernardo;VentaCasa3DormitoriosSanBernardo;3;3;82;160;1;9722700;Invierte Propiedades
175000000;4917;217933;PuenteAlto;LosDominicosParqueSanFrancisco;4;1;168;157;;10761732;Unne
1583755000;44500;1972298;Vitacura;SantaMaria/Condominio3casas;4;4;300;700;2;11139158;Nexxos
75000000;2107;93400;SanJoaquín;Sevendecasa1pisosanjoaquin$75millonesconvers...;1;1;80;213;;10217373;Scn Propiedades Ltda
